=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=1995389 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1996643 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1997897 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1999151 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2000405 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2001659 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2002913 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2004167 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2005421 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2006675 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2007929 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2009183 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2010437 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2011691 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2012945 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2014199 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2015453 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2016707 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2017961 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2019215 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2020469 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2021723 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2022977 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2024231 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2025485 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2026739 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2027993 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2029247 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2030501 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2031755 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2033009 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2034263 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2035517 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2036771 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2038025 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2039279 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2040533 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2041787 cnt=0000 reload=FB1A ctl=0080
