=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2038029 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2039283 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2040537 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2041791 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2043045 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2044299 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2045553 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2046807 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2048061 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2049315 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2050569 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2051823 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2053077 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2054331 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2055585 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2056839 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2058093 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2059347 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2060601 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2061855 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2063109 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2064363 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2065617 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2066871 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2068125 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2069379 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2070633 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2071887 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2073141 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2074395 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2075649 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2076903 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2078157 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2079411 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2080665 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2081919 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2083173 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2084427 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2085681 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2086935 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2088189 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2089443 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2090697 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2091951 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2093205 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2094459 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2095713 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2096967 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2098221 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2099475 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2100729 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2101983 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2103237 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2104491 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2105745 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2106999 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2108253 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2109507 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2110761 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2112015 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2113269 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2114523 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2115777 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2117031 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2118285 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2119539 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2120793 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2122047 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2123301 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2124555 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2125809 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2127063 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2128317 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2129571 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2130825 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2132079 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2133333 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2134587 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2135841 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2137095 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2138349 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2139603 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2140857 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2142111 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2143365 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2144619 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2145873 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2147127 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2148381 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2149635 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2150889 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2152143 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2153397 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2154651 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2155905 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2157159 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2158413 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2159667 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2160921 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2162175 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=2163392 pc=00000348 cpsr=2000005F return=0000034C
TMR overflow t=0 cyc=2163429 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2164683 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2165937 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2167191 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2168445 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2169699 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2170953 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2172207 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2173461 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2174715 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2175969 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2177223 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2178477 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2179731 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2180985 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2182239 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2183493 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2184747 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2186001 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2187255 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2188509 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2189763 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2191017 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2192271 cnt=0000 reload=FB1A ctl=0080
