=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2873189 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2874443 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2875697 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2876951 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2878205 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2879459 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2880713 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2881967 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2883221 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2884475 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2885729 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2886983 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2888237 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2889491 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2890745 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2891999 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2893253 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2894507 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2895761 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2897015 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2898269 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2899523 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2900777 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2902031 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2903285 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2904539 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2905793 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2907047 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2908301 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2909555 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2910809 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2912063 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2913317 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2914571 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2915825 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2917079 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2918333 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2919587 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2920841 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2922095 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2923349 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2924603 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2925857 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2927111 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2928365 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2929619 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2930873 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2932127 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2933381 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2934635 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2935889 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2937143 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2938397 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2939651 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2940905 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2942159 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2943413 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2944667 cnt=0000 reload=FB1A ctl=0080
